d,phi,u
-0.06943689850486467,-0.05098875315914092,0.4110612026895155
-0.06969359173374212,-0.059265800318975326,0.36710903460156896
-0.06999034211072575,-0.06821586827030418,0.3193911910750884
-0.07032991655670506,-0.07769338323375491,0.2686078717980416
-0.07071441461547445,-0.08756027523765333,0.21542843119085564
-0.07114354007303125,-0.09692546941714707,0.16431120571781888
-0.07161488141013594,-0.10576883495600868,0.11538096465246395
-0.07212592561540865,-0.114065469232279,0.0687873512183852
-0.07267404191892801,-0.12178772043157471,0.024694932186713148
-0.07325647402709001,-0.12890687940600346,-0.016725183767050567
-0.07387035682304521,-0.13540214801277234,-0.055340354760446964
-0.07451253880761999,-0.14116757751747722,1.5466341211229269
-0.07517965399725646,-0.14621317824862,1.5147349655708482
-0.07586839858615824,-0.15055291689718042,1.4861488264390283
-0.07657554788668253,-0.1542044516282233,1.4608196597785712
-0.07729813451289336,-0.15725954296408562,1.4383183368371513
-0.07804088356573835,-0.1629695739106854,1.4023406915757024
-0.07881502132532492,-0.17091739323220254,1.3548602173722508
-0.07962996363019648,-0.18074802952206245,1.2975576128742357
-0.08049357732092688,-0.1921602895938464,1.231860175608012
-0.08141240615317524,-0.20489873839100356,1.1589796432997426
-0.08239179219991422,-0.2187153161858084,1.0801028938583288
-0.08343591851736432,-0.23337226265471475,-3.2727533671692486
-0.08454786567269701,-0.24864407135297767,-3.36023188221389
-0.08572967796317965,-0.2643186818667039,-3.450423057687347
-0.08698243591418298,-0.28019808620991754,-3.5423476589134495
-0.08830633296359214,-0.29609880514706105,-3.6350902240932585
-0.08968196720498745,-0.3033994832874285,-3.6853499572090485
-0.09107311853409528,-0.30307358813025,-3.697631994714234
-0.0924477174106888,-0.2959594205290064,-3.675807145473952
-0.09377707295798876,-0.28278007576358516,-3.6232039771198448
-0.09503526322743405,-0.2641606168679367,-3.5426885853360552
-0.0961988564318551,-0.24072687976022056,-3.437155831841686
-0.0972468987186309,-0.21309645016831735,-0.7682426397238102
-0.09816092227454176,-0.18187209957987946,-0.6212611223407296
-0.0989249673900845,-0.1476371700189994,-0.45772692569175644
-0.09952560871768779,-0.11095248986536083,-0.2803099381995966
-0.09995197312756221,-0.07235364394169942,-0.0915793526800337
-0.1002074430117621,-0.03738021543454198,0.08073309101375448
-0.10030810663688783,-0.005839833966191635,0.237428362104249
-0.10026953017733731,0.022401447692211154,0.37902053499176813
-0.1001068987645598,0.04743222966587946,0.5058007589878847
-0.09983512954841511,0.06930689817484785,0.6178917936941736
-0.09946884207986906,0.08810509532855233,0.7155456541481565
-0.09902221981479653,0.10392676578095954,-1.8487608041091896
-0.09850890672025836,0.11688843187408823,-1.7788193426981644
-0.097941930529171,0.1271204068134534,-1.721989706090465
-0.09733364553785051,0.13476471282626515,-1.6776853261132014
-0.09669569030946168,0.13997302097697792,-1.6452642330757492
